Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","C_0805_HandSoldering",74.930000,-124.891800,0.000000,top
"C2","22uf","C_0805_HandSoldering",73.914000,-128.574800,270.000000,top
"C3","0.1uf","C_0805_HandSoldering",115.189000,-125.653800,0.000000,top
"C4","0.1uf","C_0805_HandSoldering",115.590000,-109.524800,0.000000,top
"C5","0.1uf","C_0805_HandSoldering",94.615000,-132.130800,180.000000,top
"C6","0.1uf","C_0805_HandSoldering",92.329000,-124.891800,0.000000,top
"C7","0.1uf","C_0805_HandSoldering",102.362000,-107.365800,180.000000,top
"C8","0.1uf","C_0805_HandSoldering",92.075000,-116.763800,270.000000,top
"C9","0.1uf","C_0805_HandSoldering",92.583000,-110.667800,180.000000,top
"C10","0.1uf","C_0805_HandSoldering",126.619000,-113.461800,180.000000,top
"C11","0.1uf","C_0805_HandSoldering",174.498000,-140.335000,90.000000,top
"C12","0.1uf","C_0805_HandSoldering",148.463000,-140.893800,90.000000,top
"Q1","NPN_BCE","SOT-23",71.628000,-142.748000,270.000000,top
"R1","1k","R_0805_HandSoldering",72.644000,-138.226800,90.000000,top
"R2","330","R_0805_HandSoldering",65.151000,-134.670800,270.000000,top
"R3","1k","R_0805_HandSoldering",63.119000,-116.967000,270.000000,top
"R4","10k","R_0805_HandSoldering",76.581000,-108.635800,270.000000,top
"R5","10k","R_0805_HandSoldering",71.501000,-108.712000,270.000000,top
"R6","10k","R_0805_HandSoldering",66.548000,-108.712000,270.000000,top
"U1","XC95144XL-TQ100","TQFP-100_14x14mm_Pitch0.5mm",103.759000,-118.491000,180.000000,top
"U3","74HCT245","SSOP-20",133.731000,-117.094000,180.000000,top
"U4","LM1117-3.3","SOT-223",67.056000,-127.381000,180.000000,top
